"Code";"Libre";"Nom";"CP";"Com";"Ville";"Com";"Téléphone";"Com";"";"";"";""
"F0186";"GARAGE";"FRAISSE";"42390";"VILLARS";"CEDEX";"04";"77";"92";"30";"10";"";""
"F0279";"GARAGE";"MEYRIEUX";"";"";"";"";"";"";"";"";"";""
"F0192";"GATTE";"FOURNISSEUR";"";"";"";"";"";"";"";"";"";""
"F0193";"GEANT";"";"";"";"";"";"";"";"";"";"";""
"F0194";"GEDIS";"";"";"";"";"";"";"";"";"";"";""
"F00000000551";"GEWA";"";"";"";"";"";"";"";"";"";"";""
"F0196";"GFF";"";"";"";"";"";"";"";"";"";"";""
"F0197";"GHS";"";"";"";"";"";"";"";"";"";"";""
"F0198";"GIER";"MANUTENTION";"42152";"L'";"HORME";"0477312874";"";"";"";"";"";""
"F0195";"GL";"EVENTS";"69530";"LYON-BRIGNAIS";"0472315454";"";"";"";"";"";"";""
"F0199";"GREFFE";"DU";"TRIBUNAL";"";"";"";"";"";"";"";"";""
"F0200";"GRENIER";"";"";"";"";"";"";"";"";"";"";""
"F0201";"GUIL";"";"";"";"";"";"";"";"";"";"";""
"GUILLET";"GUILLET";"";"";"";"";"";"";"";"";"";"";""
"F00000000549";"GUITARE";"AVENUE";"42000";"SAINT-ETIENNE";"0477549806";"";"";"";"";"";"";""
"F0202";"HALOGENE";"";"";"";"";"";"";"";"";"";"";""
"F0203";"HAUTIÈRE";"";"";"";"";"";"";"";"";"";"";""
"F0204";"HELI";"INFORMATIQUE";"";"";"";"";"";"";"";"";"";""
"F00000000467";"HEPPNER";"42100";"ST";"ETIENNER";"04";"77";"48";"18";"48";"";"";""
"F0205";"HIFISCOPE";"";"";"";"";"";"";"";"";"";"";""
"F00000000515";"HIGHLITE";"";"";"";"";"";"";"";"";"";"";""
"F0206";"HILTI";"";"";"";"";"";"";"";"";"";"";""
"F0207";"HP";"MUSIC";"";"";"";"";"";"";"";"";"";""
"F0208";"HR";"";"";"";"";"";"";"";"";"";"";""
"F0209";"ILME";"42160";"Andrézieux-Boutheon";"0477362336";"";"";"";"";"";"";"";""
"F00000000530";"IMEDIA";"LOCATION";"42350";"LA";"TALAUDIERE";"0477011022";"";"";"";"";"";""
"F0210";"IMPACT";"EVENEMENT";"91160";"LONGJUMEAU";"0169105050";"";"";"";"";"";"";""
"F0211";"IN";"FOLIO";"";"";"";"";"";"";"";"";"";""
"F00000000498";"INTEROUGE";"63100";"CLERMONT-FERRAND";"04";"73";"92";"84";"91";"";"";"";""
"F00000000520";"IPE";"MUSIC";"85340";"OLONNESUR";"MER";"02";"51";"32";"20";"35";"";""
"F00000000496";"IRELEM";"71880";"CHATENOY-LE-ROYAL";"0385464217";"";"";"";"";"";"";"";""
"F0213";"ISOGARD";"";"";"";"";"";"";"";"";"";"";""
"F0214";"JAMES";"IRON";"PRODUCTION";"";"";"";"";"";"";"";"";""
"F0215";"JBK";"AUDIO";"0142437127";"";"";"";"";"";"";"";"";""
"F0216";"JET";"SERVICE";"94150";"RUNGIS";"01";"46";"87";"28";"58";"";"";""
"F0218";"JPG";"";"";"";"";"";"";"";"";"";"";""
"F00000000505";"JUKE";"BOX";"LIMITED";"93210";"LA";"PLAINE";"ST";"DENIS";"0155931111";"";"";""
"F0223";"K";"TRANS";"42042";"SAINT-ETIENNE";"0477481848";"";"";"";"";"";"";""
"F0220";"KHALED";"BEN";"YAHIA";"";"";"";"";"";"";"";"";""
"F0221";"KILOUTOU";"";"";"";"";"";"";"";"";"";"";""
"F0222";"KINGJOUETS";"";"";"";"";"";"";"";"";"";"";""
"F00000000451";"KLOTZ";"France";"31340";"VACQUIRES";"0561840529";"";"";"";"";"";"";""
"F00000000004";"L-acoustics";"91462";"MARCOUSSIS-CEDEX";"0169636963";"";"";"";"";"";"";"";""
"F00000000514";"L'ETES";"CHAPITEAUX";"69140";"RILLIEUX-LA-APE";"04";"78";"55";"05";"01";"";"";""
"F0225";"LA";"BOITE";"A";"SONS";"69100";"VILEURBANNE";"0472372828";"";"";"";"";""
"F0226";"LA";"BOITE";"NOIRE";"60350";"AUTRECHES";"0344429703";"";"";"";"";"";""
"F0227";"LA";"BOUTIQUE";"DU";"SPECTACLE";"75013";"PARIS";"0169450000";"";"";"";"";""
"F0228";"LA";"CENTRALE";"DES";"PRESTATAIRES";"";"";"";"";"";"";"";""
"F0229";"LA";"COMPAGNIE";"LUMIERE";"ET";"SON";"69300";"CALUIRE";"0437402160";"";"";"";""
"F0232";"LA";"GRANGE";"9";"W";"";"";"";"";"";"";"";""
"F0235";"LA";"POSTE";"";"";"";"";"";"";"";"";"";""
"F0224";"LAB7";"";"";"";"";"";"";"";"";"";"";""
"F0231";"LADY";"KIM";"";"";"";"";"";"";"";"";"";""
"F0233";"LAHO";"0477481700";"";"";"";"";"";"";"";"";"";""
"F0234";"LANZANI";"GAETAN";"";"";"";"";"";"";"";"";"";""
"F0236";"LAURENT";"POIDS";"LOURD";"42000";"SAINT-ETIENNE";"04";"77";"47";"51";"51";"";""
"F0237";"LAVAGE";"POIDS";"LOURDES";"2000";"";"";"";"";"";"";"";""
"F0238";"LAYHER";"38670";"CHASSE";"SUR";"RHONE";"0472310051";"";"";"";"";"";""
"F0239";"LCB";"DISTRIBUTION";"78820";"Juziers";"0134756465";"";"";"";"";"";"";""
"F00000000556";"LDLC";"";"";"";"";"";"";"";"";"";"";""
"F0240";"LDTM";"";"";"";"";"";"";"";"";"";"";""
"F0241";"LE";"42";"";"";"";"";"";"";"";"";"";""
"F0243";"LE";"KIOSQUE";"";"";"";"";"";"";"";"";"";""
"F0242";"LECLERC";"";"";"";"";"";"";"";"";"";"";""
"F0244";"LEROY";"MERLIN";"";"";"";"";"";"";"";"";"";""
"F0245";"LIDL";"";"";"";"";"";"";"";"";"";"";""
"F00000000570";"LIFTKET";"";"";"";"";"";"";"";"";"";"";""
"F0246";"LIME";"LIGHT";"";"";"";"";"";"";"";"";"";""
"F0247";"LINÉAR";"TECHNOLOGIE";"42100";"Saint";"Etienne";"0477814949";"";"";"";"";"";""
"F00000000571";"LITTOCLIME";"";"";"";"";"";"";"";"";"";"";""
"F0248";"LIVINEC";"";"";"";"";"";"";"";"";"";"";""
"F00000000446";"LOCAREST";"04";"77";"59";"00";"01";"";"";"";"";"";""
